MatchNumber,AverageError,ManualLength,AutoLength,CellOverlap
1,17,49,23,6
2,39,54,345,54
3,86,113,345,113
4,95,113,369,113
5,14,134,166,4
6,103,113,202,113
7,94,113,202,113
8,8,54,64,3
9,32,54,268,42
10,19,37,35,11
11,8,35,35,1
12,8,28,253,2
13,20,44,50,26
14,25,54,50,26
15,10,72,125,3
16,59,78,243,78
17,27,38,243,38
18,20,81,13,13
19,18,100,235,5
20,86,113,119,94
21,52,78,119,61
22,93,113,355,113
23,9,68,108,3
24,98,113,260,113
25,106,113,260,113
26,13,70,83,1
27,15,47,217,4
28,34,52,67,27
29,33,52,67,27
30,15,45,225,9
31,35,52,59,19
32,25,52,59,19
33,26,135,98,6
34,93,113,270,113
35,95,113,270,113
36,8,106,85,1
37,60,78,283,78
38,28,38,283,38
39,24,93,97,9
40,60,78,271,78
41,60,78,271,78
42,13,109,202,6
43,40,54,165,54
44,50,78,165,78
45,36,141,183,9
46,52,78,184,78
47,43,78,184,78
48,30,124,157,7
49,37,54,201,54
50,37,54,201,54
51,21,134,191,1
52,33,54,167,54
53,53,78,167,78
54,7,17,56,6
55,38,114,197,23
56,41,81,114,53
57,22,57,114,57
58,47,78,275,78
59,26,54,36,12
60,20,54,36,12
61,40,125,226,21
62,32,78,142,68
63,30,89,142,47
64,27,99,196,2
65,30,78,172,78
66,25,78,172,78
67,17,54,22,6
68,36,125,206,24
69,24,78,139,65
70,13,78,139,65
71,24,104,219,2
72,24,78,126,52
73,10,78,126,52
74,29,54,32,16
75,21,125,189,17
76,41,78,146,72
77,42,78,146,72
78,15,125,187,15
79,40,78,148,74
80,31,78,148,74
81,7,28,49,4
82,38,78,319,78
83,33,78,319,78
84,42,170,189,14
85,42,78,179,78
86,40,78,179,78
87,16,67,180,8
88,23,38,188,38
89,19,38,188,38
90,18,104,241,19
91,21,38,127,38
92,15,38,127,38
93,23,108,136,4
94,21,38,232,38
95,17,38,232,38
96,17,113,120,14
97,95,113,248,113
98,30,38,248,38
99,20,92,62,9
100,22,42,261,21
101,23,52,44,4
102,15,52,44,4
103,28,38,306,38
104,17,73,81,9
105,18,72,203,12
106,75,113,83,58
107,75,113,83,58
108,11,44,208,10
109,77,113,78,53
110,76,113,78,53
111,13,55,108,5
112,31,46,260,46
113,33,46,260,46
114,38,56,361,48
115,32,56,361,48
116,11,71,34,9
117,12,44,258,13
118,70,95,75,51
119,80,113,75,50
120,107,113,334,113
121,26,107,64,26
122,16,70,220,12
123,73,113,83,58
124,44,78,83,25
125,17,83,184,6
126,32,46,119,46
127,32,46,119,46
128,23,102,127,10
129,26,46,241,46
130,29,46,241,46
131,18,82,74,3
132,32,46,294,46
133,29,46,294,46
134,8,47,21,21
135,31,172,162,21
136,33,46,184,46
137,37,46,184,46
138,25,122,179,14
139,45,46,167,46
140,38,46,167,46
141,18,78,364,78
142,20,78,364,78
143,18,149,150,3
144,29,78,218,78
145,21,78,218,78
146,24,89,182,16
147,27,78,186,78
148,28,78,186,78
149,6,28,125,4
150,13,40,243,33
151,13,40,243,33
152,15,38,369,38
