Time,TotalError,AverageError,ManTrackedCells,AutoTrackedCells
0,0,0,0,53
1,0,0,0,53
2,0,0,0,53
3,0,0,0,53
4,0,0,0,53
5,940.5886399411156,13.436980570587366,70,57
6,892.5461894302593,12.571073090567033,71,61
7,867.7001980996511,12.051391640272932,72,62
8,898.3530649180267,12.47712590163926,72,64
9,823.9808815015186,11.605364528190403,71,69
10,709.6186490875998,9.7208034121589,73,74
11,729.8280277011661,9.603000364489027,76,75
12,688.6346322278156,9.181795096370875,75,80
13,766.8621983044105,9.46743454696803,81,84
14,722.4547102936906,8.810423296264519,82,86
15,1125.0251409837576,9.37520950819798,120,90
16,1093.3180899946387,9.035686694170568,121,93
17,1159.3993555526731,9.275194844421385,125,98
18,1188.190696980122,9.430084896667635,126,103
19,1293.9106165875535,9.953158589135027,130,106
20,1282.7409188162958,9.791915410811418,131,105
21,1229.4570295982678,9.175052459688565,134,109
22,1325.124109294573,9.672438753974985,137,109
23,1243.820706541489,9.21348671512214,135,115
24,1301.4727583987744,8.8535561795835,147,118
25,1326.6226865058036,7.991702930757853,166,120
26,1329.6558203128238,8.00997482116159,166,109
27,1328.234177740496,7.767451331815766,171,115
28,1285.5527472331923,7.346015698475385,175,121
29,1186.1997511157376,6.589998617309654,180,131
30,1213.109445489716,6.592986116791935,184,135
31,1364.8336879864335,7.183335199928597,190,143
32,1383.0620765097142,7.0206196777142855,197,144
33,1468.668001232506,7.34334000616253,200,148
34,1534.5072187356614,7.672536093678307,200,156
35,1758.8485355229634,7.714247962820015,228,163
36,1783.9178084593898,7.8586687597329945,227,164
37,1820.551144468573,8.020049094575212,227,167
38,1774.5305497356508,7.519197244642588,236,168
39,1749.02830171578,7.348858410570504,238,173
40,1749.4590865474424,7.199420109248734,243,175
41,1786.9266916347894,7.353607784505306,243,181
42,1699.1422196004066,6.907082193497588,246,188
43,1777.060259747921,7.136788191758719,249,190
44,1672.9516692107447,6.71868140245279,249,188
45,1942.1125767528,7.412643422720611,262,192
46,1825.29131863504,6.8878917684341125,265,195
47,1794.0692465698264,6.770072628565383,265,196
48,1831.0838396600013,6.83240238679105,268,198
