0 [58.0, 216.0] 30
1 [61.0, 210.0] 11
2 [64.0, 207.0] 23
3 [66.0, 262.0] 17
4 [68.0, 201.0] 38
5 [69.0, 175.0] 9
6 [70.0, 172.0] 13
7 [71.0, 279.0] 12
8 [74.0, 394.0] 11
9 [76.0, 175.0] 22
10 [75.0, 196.0] 16
11 [77.0, 193.0] 17
12 [77.0, 163.0] 19
13 [79.0, 180.0] 17
14 [79.0, 387.0] 28
15 [80.0, 184.0] 16
16 [87.0, 161.0] 19
17 [89.0, 236.0] 15
18 [92.0, 234.0] 14
19 [93.0, 221.0] 31
20 [92.0, 229.0] 44
21 [96.0, 318.0] 33
22 [97.0, 309.0] 58
23 [98.0, 313.0] 17
24 [99.0, 315.0] 17
25 [98.0, 322.0] 42
26 [103.0, 324.0] 10
27 [107.0, 323.0] 22
28 [109.0, 241.0] 10
29 [108.0, 302.0] 10
30 [111.0, 304.0] 16
31 [137.0, 375.0] 23
32 [140.0, 457.0] 13
33 [143.0, 349.0] 22
34 [159.0, 476.0] 20
35 [163.0, 393.0] 12
36 [171.0, 489.0] 16
37 [173.0, 105.0] 26
38 [176.0, 424.0] 34
39 [179.0, 324.0] 21
40 [180.0, 269.0] 18
41 [201.0, 148.0] 13
42 [203.0, 185.0] 28
43 [205.0, 153.0] 26
44 [206.0, 136.0] 41
45 [207.0, 154.0] 9
46 [212.0, 220.0] 15
47 [211.0, 153.0] 32
48 [222.0, 269.0] 23
49 [226.0, 283.0] 18
50 [230.0, 283.0] 18
51 [237.0, 440.0] 9
52 [238.0, 344.0] 24
53 [241.0, 439.0] 13
54 [241.0, 425.0] 17
55 [247.0, 289.0] 33
56 [249.0, 374.0] 26
57 [255.0, 327.0] 18
58 [259.0, 161.0] 23
59 [259.0, 301.0] 20
60 [263.0, 400.0] 10
61 [272.0, 468.0] 21
62 [272.0, 367.0] 26
63 [274.0, 447.0] 11
64 [275.0, 360.0] 16
65 [279.0, 173.0] 18
66 [284.0, 81.0] 30
67 [285.0, 115.0] 43
68 [287.0, 452.0] 13
69 [293.0, 365.0] 17
70 [293.0, 373.0] 23
71 [292.0, 389.0] 21
72 [298.0, 388.0] 29
73 [298.0, 442.0] 13
74 [299.0, 378.0] 35
75 [305.0, 405.0] 24
76 [316.0, 130.0] 18
77 [322.0, 281.0] 15
78 [328.0, 372.0] 27
79 [330.0, 438.0] 17
80 [333.0, 438.0] 16
81 [334.0, 482.0] 9
82 [338.0, 471.0] 21
83 [340.0, 91.0] 9
84 [338.0, 445.0] 55
85 [341.0, 480.0] 19
86 [351.0, 204.0] 13
87 [357.0, 438.0] 26
88 [360.0, 86.0] 19
89 [362.0, 409.0] 24
90 [381.0, 107.0] 30
91 [382.0, 85.0] 19
92 [382.0, 95.0] 15
93 [387.0, 92.0] 28
94 [388.0, 206.0] 31
95 [388.0, 445.0] 9
96 [390.0, 294.0] 19
97 [391.0, 300.0] 14
98 [390.0, 413.0] 15
99 [391.0, 79.0] 19
100 [392.0, 442.0] 12
101 [393.0, 381.0] 52
102 [396.0, 293.0] 7
103 [398.0, 476.0] 18
104 [398.0, 438.0] 37
105 [400.0, 424.0] 26
106 [402.0, 65.0] 60
107 [403.0, 5.0] 9
108 [404.0, 89.0] 13
109 [407.0, 418.0] 8
110 [415.0, 103.0] 18
111 [417.0, 386.0] 9
112 [417.0, 100.0] 11
113 [416.0, 111.0] 14
114 [420.0, 113.0] 21
115 [425.0, 43.0] 9
116 [427.0, 46.0] 14
117 [427.0, 223.0] 39
118 [433.0, 109.0] 25
119 [437.0, 34.0] 29
120 [438.0, 77.0] 36
121 [439.0, 12.0] 18
122 [442.0, 70.0] 20
123 [443.0, 11.0] 11
124 [444.0, 8.0] 12
125 [449.0, 48.0] 25
126 [449.0, 218.0] 9
127 [454.0, 86.0] 11
128 [456.0, 68.0] 26
129 [462.0, 503.0] 21
130 [464.0, 314.0] 30
131 [465.0, 290.0] 10
132 [470.0, 213.0] 24
133 [470.0, 283.0] 31
134 [475.0, 135.0] 19
135 [482.0, 273.0] 12
136 [483.0, 132.0] 55
137 [484.0, 84.0] 10
138 [488.0, 253.0] 13
139 [492.0, 54.0] 18
140 [493.0, 346.0] 21
141 [496.0, 418.0] 20
142 [504.0, 53.0] 21
